Year,Mean,Std,Min,Max,CV,Total
2003,25.0659628887953,27.36205376306,3.21574430854574,136.978801631567,1.09160194182251,676.780997997473
2004,30.6272883179835,32.6677483489504,3.5939648416409,148.717591429879,1.06662228826079,735.054919631605
2005,31.4471207003582,32.6811560060092,3.22665245033273,158.939020881285,1.03924159917245,974.860741711105
2006,30.5021501489391,34.8502701304538,1.17151099812279,165.243145603213,1.14255126147774,1128.57955551075
2007,34.4866309158123,37.6754344537303,1.23962766904599,174.774679245594,1.09246491910742,1310.49197480087
2008,34.6271705610602,37.5061627732277,1.48223802241603,178.15461035295,1.08314257750545,1419.71399300347
2009,36.7849275158057,39.5055399282103,1.42388891514608,179.05882443175,1.07395997752709,1508.18202814803
2010,40.1138658147115,43.10903611092,1.3422107403586,195.503096020369,1.07466670776742,1644.66849840317
2011,44.7492332939093,47.5021433754156,1.34458885047352,202.105255857844,1.06151859772491,1834.71856505028
2012,45.8556682024672,47.4081291867099,1.64230075916823,207.790165382693,1.03385537808299,1880.08239630116
2013,48.3124246184395,49.831987417305,1.77922296290686,218.37953736651,1.03145283663295,1980.80940935602
2014,48.5478815936705,48.4893325688389,2.12111417909352,221.487753687625,0.998793994240127,1990.46314534049
2015,49.8657979424702,51.6927346443495,1.99014883144409,236.486955317897,1.0366370694396,2044.49771564128
2016,48.9240629763409,48.2022469953881,1.95824518353905,211.961166972433,0.985246197125902,2005.88658202998
2017,53.3182937630634,49.8464197529943,2.06324504808316,206.903802651164,0.934884000123906,2079.41345675947
2018,48.9534115869325,50.8899497387137,1.76150493602814,213.414026921321,1.03955879864148,1762.32281712957
2019,49.7352549012268,51.9969917261272,1.80439131682156,231.19357643689,1.04547552494488,1840.20443134539
2020,50.4564433333596,52.7509765807954,1.83055597903787,234.546009901659,1.04547552494488,1866.8884033343
2021,52.9711241823999,55.3800138615147,1.92178841159697,246.235465605497,1.04547552494488,1959.9315947488
2022,52.5733104429027,54.9641093333836,1.90735575897085,244.386234484178,1.04547552494488,1945.2124863874
