Variable,FE_coef,FE_se,FE_t,FE_p,RE_coef,RE_se,RE_t,RE_p
lnPGDP,-0.770940261597342,0.117488245088548,-6.5618501750222,1.03986819155466e-10,-0.736611107677456,0.049690326766841,-14.8240342860656,0
lnPGDP²,0.058025988264925,0.00867360801712426,6.68994819115236,4.59985383116646e-11,0.0555129879661147,0.00368419505042734,15.0678743134611,0
产业结构,0.0125216801624681,0.00323144485667462,3.87494780751225,0.00011675336515049,0.0144697563356506,0.00166881458930891,8.67067943218477,0
ln人口,0.337709398654413,0.131023095987641,2.57747991763427,0.0101575867756156,0.438419341795061,0.0705767092069572,6.21195500217291,8.76162697949212e-10
ln电力,0.0319168756334171,0.0458253357865628,0.696489727474642,0.48635539144391,0.0544648948404368,0.0218714347735363,2.49022962619433,0.0129861751973348
