变量,系数,P值,显著性,影响方向
lnPGDP,-0.770940261597342,1.03986819155466e-10,***,负向
lnPGDP²,0.058025988264925,4.599853831166459e-11,***,正向
产业结构,0.0125216801624681,0.0001167533651504,***,正向
ln人口,0.337709398654413,0.0101575867756156,**,正向
ln电力,0.0319168756334171,0.48635539144391,,正向
